Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close),Time of Week,Total Daily Entries
Federal Center SW,62.0,438.00,611.00,135.00,7.0,Weekends,1253.0
Federal Triangle,27.0,627.00,"1,058.00",238.00,13.0,Weekends,1963.0
Foggy Bottom-GWU,491.0,"2,890.00","2,859.00","1,771.00",62.0,Weekends,8073.0
Forest Glen,78.0,232.00,135.00,52.00,10.0,Weekends,507.0
Fort Totten,836.0,"1,745.00","1,008.00",470.00,26.0,Weekends,4085.0
Franconia-Springfield,325.0,"1,092.00",453.00,169.00,7.0,Weekends,2046.0
Friendship Heights,203.0,"1,061.00",726.00,368.00,19.0,Weekends,2377.0
Gallery Place,286.0,"2,616.00","4,179.00","3,859.00",175.0,Weekends,11115.0
Georgia Ave-Petworth,333.0,"1,199.00",788.00,418.00,21.0,Weekends,2759.0
Glenmont,219.0,550.00,281.00,111.00,8.0,Weekends,1169.0
Greenbelt,329.0,"1,113.00",547.00,186.00,9.0,Weekends,2184.0
Greensboro,38.0,199.00,175.00,125.00,6.0,Weekends,543.0
Grosvenor-Strathmore,158.0,750.00,469.00,225.00,19.0,Weekends,1621.0
Herndon,79.0,300.00,130.00,50.00,2.0,Weekends,561.0
Huntington,347.0,937.00,458.00,176.00,11.0,Weekends,1929.0
Hyattsville Crossing,366.0,818.00,622.00,300.00,12.0,Weekends,2118.0
Innovation Center,79.0,303.00,180.00,56.00,3.0,Weekends,621.0
Judiciary Square,59.0,547.00,670.00,265.00,18.0,Weekends,1559.0
King St-Old Town,350.0,"1,267.00",926.00,540.00,21.0,Weekends,3104.0
L'Enfant Plaza,270.0,"1,670.00","2,652.00","1,201.00",92.0,Weekends,5885.0
Landover,84.0,142.00,73.00,45.00,5.0,Weekends,349.0
Loudoun Gateway,22.0,72.00,41.00,17.00,1.0,Weekends,153.0
McLean,66.0,262.00,204.00,157.00,8.0,Weekends,697.0
McPherson Sq,258.0,"1,264.00","1,165.00",678.00,70.0,Weekends,3435.0
Medical Center,84.0,356.00,253.00,144.00,10.0,Weekends,847.0
Metro Center,271.0,"2,183.00","3,110.00","1,902.00",88.0,Weekends,7554.0
Minnesota Ave,125.0,328.00,207.00,133.00,9.0,Weekends,802.0
Morgan Boulevard,64.0,162.00,367.00,323.00,28.0,Weekends,944.0
Mt Vernon Sq,194.0,"1,207.00","1,117.00",754.00,48.0,Weekends,3320.0
Navy Yard-Ballpark,304.0,"1,833.00","3,106.00","2,799.00",93.0,Weekends,8135.0
Naylor Road,133.0,260.00,149.00,101.00,7.0,Weekends,650.0
New Carrollton,292.0,757.00,338.00,154.00,8.0,Weekends,1549.0
NoMa-Gallaudet U,508.0,"3,045.00","2,087.00","1,120.00",54.0,Weekends,6814.0
North Bethesda,119.0,468.00,322.00,174.00,8.0,Weekends,1091.0
Pentagon,160.0,524.00,255.00,104.00,8.0,Weekends,1051.0
Pentagon City,429.0,"2,422.00","2,207.00",888.00,14.0,Weekends,5960.0
Potomac Ave,164.0,611.00,353.00,205.00,9.0,Weekends,1342.0
Potomac Yard,101.0,475.00,330.00,130.00,6.0,Weekends,1042.0
Reston Town Center,60.0,232.00,140.00,80.00,2.0,Weekends,514.0
Rhode Island Ave,360.0,"1,192.00",819.00,482.00,20.0,Weekends,2873.0
Rockville,187.0,597.00,369.00,178.00,7.0,Weekends,1338.0
Ronald Reagan Washington National Airport,434.0,"1,769.00","1,557.00","1,583.00",28.0,Weekends,5371.0
Rosslyn,394.0,"1,949.00","1,304.00",641.00,32.0,Weekends,4320.0
Shady Grove,511.0,"1,554.00",699.00,244.00,6.0,Weekends,3014.0
Shaw-Howard U,166.0,905.00,706.00,535.00,49.0,Weekends,2361.0
Silver Spring,314.0,"1,081.00",710.00,390.00,19.0,Weekends,2514.0
Smithsonian,72.0,"1,854.00","3,368.00",723.00,22.0,Weekends,6039.0
